Señor Bear,3301 Tejon St,Denver,80211,(720) 572-5997,CO, Mon 3:00 pm - 10:00 pm ||Tue 3:00 pm - 10:00 pm ||Wed 3:00 pm - 10:00 pm ||Thu 3:00 pm - 10:00 pm Closed now ||Fri 3:00 pm - 11:00 pm ||Sat 3:00 pm - 11:00 pm ||Sun 3:00 pm - 10:00 pm,$$ || $$,-105.0115571,39.7633822,4,"Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Good For --> Dinner | Parking --> Street | Bike Parking --> Yes | Good for Kids --> No | Good for Groups --> Yes | Attire --> Casual | Ambience --> Trendy | Noise Level --> Loud | Good For Dancing --> No | Alcohol --> Full Bar | Happy Hour --> Yes | Best Nights --> Wed, Fri | Smoking --> Outdoor Area / Patio Only | Outdoor Seating --> Yes | Wi-Fi --> Paid | Has TV --> No | Waiter Service --> Yes | Has Pool Table --> No | Gender Neutral Restrooms --> Yes ",,"Latin American , Beer Bar , Cocktail Bars",Bars,84,1/25/2018,http://www.yelp.com/user_details?userid=B4V_YviPXrCIYTu-et9oUg,nZYrt9j8tXM3XnKFBEVgtg,,
http://www.tatravelcenters.com,Wren R.,Travelcenters of America,4115 Broadway Ave,Boise,83705,(208) 344-1091,ID, Mon 6:00 am - 12:00 am ||Tue 6:00 am - 12:00 am ||Wed 6:00 am - 12:00 am Open now ||Thu 6:00 am - 12:00 am ||Fri 6:00 am - 12:00 am ||Sat 6:00 am - 12:00 am ||Sun 6:00 am - 12:00 am,$$ || $$,-116.1993109,43.5651831,3.5,"Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Good For --> Breakfast, Brunch | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Average | Alcohol --> Beer & Wine Only | Outdoor Seating --> No | Wi-Fi --> Paid | Has TV --> Yes | Caters --> No ",,American (New),Bars,14,08-06-2017,http://www.yelp.com/user_details?userid=7cszyrp7kc5egZwv9gxmrQ,t0R0LrZhC1__U4dTLNX9gA
,,Bolo’s Pub & Eatery,601 S Main St,Meridian,83642,(208) 884-3737,ID,,,-116.3927303,43.5991159,,Delivery --> No | Accepts Credit Cards --> Yes ,,"American (New) , Pubs",Bars,,,,RgYr-Kc0v6cBP7bBgsyqAQ
https://restaurants.applebees.com/id/meridian-84089.html,Pete H.,Applebee’s Neighborhood Grill & Bar,1460 N Eagle Rd,Meridian,83642,(208) 855-0343,ID, Mon 11:00 am - 12:00 am ||Tue 11:00 am - 12:00 am ||Wed 11:00 am - 12:00 am Open now ||Thu 11:00 am - 12:00 am ||Fri 11:00 am - 1:00 am ||Sat 11:00 am - 1:00 am ||Sun 11:00 am - 12:00 am,$$ || $$,-116.3538569,43.618088,2.5,"Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Good For --> Lunch, Dessert | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Caters --> No ",,"American (Traditional) , Sports Bars , Burgers",Bars,32,11-11-2017,http://www.yelp.com/user_details?userid=l2e3OQcWkDdulMScgZmbRw,p7xYhOyY5JSEVqrbNT4pCA
,Ben B.,Sun Ray Cafe,1602 N 13th St,Boise City,83702,(208) 343-2887,ID, Mon 11:00 am - 9:30 pm ||Tue 11:00 am - 9:30 pm ||Wed 11:00 am - 9:30 pm Closed now ||Thu 11:00 am - 9:30 pm ||Fri 11:00 am - 10:00 pm ||Sat 11:00 am - 10:00 pm ||Sun 11:00 am - 9:30 pm,$$ || $$,-116.2030559,43.6303773,3,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Accepts Android Pay --> No | Parking --> Street | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> Yes | Wi-Fi --> Free | Has TV --> Yes | Caters --> No , Established in 2007.,"Pizza , American (New) , Sandwiches",Bars,45,1/27/2018,http://www.yelp.com/user_details?userid=1AyBCY3CF1_a8-mwknvG9A,pH8Ivol4wnezrJCECnn7hQ
http://riversideboise.com/dining/riverside-grill/,Deionna A.,Riverside Grill,2900 W Chinden Blvd,Boise,83714,(208) 331-4990,ID, Mon 6:00 am - 10:00 pm ||Tue 6:00 am - 10:00 pm ||Wed 6:00 am - 10:00 pm Closed now ||Thu 6:00 am - 10:00 pm ||Fri 6:00 am - 10:00 pm ||Sat 6:00 am - 10:00 pm ||Sun 6:00 am - 10:00 pm,$$ || $$,-116.2349316,43.6196196,2.5,Takes Reservations --> Yes | Delivery --> No | Take-out --> No | Accepts Credit Cards --> Yes | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Quiet | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Waiter Service --> Yes ,,American (Traditional),Bars,15,11/26/2017,http://www.yelp.com/user_details?userid=e4sYrxGipbQFt46t349_sw,Cc2WkBGuXwTD5axRxcWHRw
https://bardenay.com,Von J.,Bardenay,Ê3201 W Airport Way||Food Court||Boise International Airport,Boise,83705,(208) 345-1713,ID, Mon 10:00 am - 8:30 pm ||Tue 10:00 am - 8:30 pm ||Wed 10:00 am - 8:30 pm Closed now ||Thu 10:00 am - 8:30 pm ||Fri 10:00 am - 8:30 pm ||Sat Closed ||Sun 10:00 am - 8:30 pm, || $$$$,-116.2221601,43.56832815,3,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Android Pay --> No | Accepts Bitcoin --> No | Good For --> Lunch | Bike Parking --> No | Wheelchair Accessible --> No | Good for Kids --> No | Good for Groups --> No | Attire --> Casual | Good For Dancing --> No | Alcohol --> Full Bar | Happy Hour --> No | Coat Check --> No | Smoking --> No | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Dogs Allowed --> No | Waiter Service --> Yes | Caters --> No , Established in 2015.,"American (New) , Cocktail Bars , Distilleries",Bars,33,12/24/2017,http://www.yelp.com/user_details?userid=zSC2PbFdbtNF8EhJVA11Bg,U_ZkwvbfxGiF9jKorDSA-w
http://www.oldchicago.com/locations/boise-downtown,Alex C.,Old Chicago Pizza & Taproom,730 W Idaho St,Boise,83702,(208) 363-0037,ID, Mon 11:00 am - 2:00 am ||Tue 11:00 am - 2:00 am ||Wed 11:00 am - 2:00 am Open now ||Thu 11:00 am - 2:00 am ||Fri 11:00 am - 2:00 am ||Sat 11:00 am - 2:00 am ||Sun 11:00 am - 2:00 am,$$ || $$,-116.2020393,43.6163781,3.5,"Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Good For --> Lunch, Dinner | Parking --> Garage, Street | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Happy Hour --> Yes | Outdoor Seating --> Yes | Wi-Fi --> Free | Has TV --> Yes | Caters --> No ", Established in 1976.,"Pizza , Sports Bars , American (Traditional)",Bars,75,1/30/2018,http://www.yelp.com/user_details?userid=DrEmYh628C_QEVSoGYVT_A,2bXm0SynOfxDzfrdrCyXqg
http://www.poolhead.com/,Caity M.,Billiards of Idaho,2510 W Main St,Boise,83702,(208) 331-1350,ID, Mon Closed ||Tue 10:00 am - 6:00 pm ||Wed 10:00 am - 6:00 pm Closed now ||Thu 10:00 am - 6:00 pm ||Fri 10:00 am - 6:00 pm ||Sat 10:00 am - 6:00 pm ||Sun 12:00 pm - 4:00 pm,,-116.2218742,43.6221001,5,Accepts Credit Cards --> Yes | Bike Parking --> Yes | Gender Neutral Restrooms --> Yes ,,Pool & Billiards,Bars,7,09-05-2017,http://www.yelp.com/user_details?userid=djzY06mbsXod9GXDAJo_gg,VxUqSdh7enCG-0aLAKx4Ug
http://www.cottonwoodgrille.com,Elise D.,Cottonwood Grille,913 W River St,Boise,83702,(208) 333-9800,ID, Mon 11:00 am - 10:00 pm ||Tue 11:00 am - 10:00 pm ||Wed 11:00 am - 10:00 pm Closed now ||Thu 11:00 am - 10:00 pm ||Fri 11:00 am - 10:00 pm ||Sat 11:00 am - 10:00 pm ||Sun 11:00 am - 9:00 pm,$ || $$$,-116.2100964,43.61084012,3,"Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Android Pay --> No | Good For --> Lunch, Dinner | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> No | Good for Groups --> Yes | Attire --> Dressy | Ambience --> Classy | Noise Level --> Average | Good For Dancing --> No | Alcohol --> Full Bar | Happy Hour --> Yes | Best Nights --> Fri | Coat Check --> No | Smoking --> No | Outdoor Seating --> Yes | Wi-Fi --> No | Has TV --> No | Waiter Service --> Yes | Caters --> Yes | Has Pool Table --> No ",,"American (Traditional) , Cocktail Bars , Buffets",Bars,136,1/17/2018,http://www.yelp.com/user_details?userid=8G4GnrRpTuh4YAmT8NuWTg,i9S34Jvd1Ijblm0TrnCVqQ
http://www.kopperkitchen.com,Dave W.,Kopper Kitchen,2661 Airport Way,Boise,83705,(208) 344-4271,ID, Mon 6:00 am - 10:00 pm ||Tue 6:00 am - 10:00 pm ||Wed 6:00 am - 10:00 pm Closed now ||Thu 6:00 am - 10:00 pm ||Fri 6:00 am - 10:00 pm ||Sat 6:00 am - 10:00 pm ||Sun 6:00 am - 10:00 pm,$$ || $$,-116.214146,43.5691262,3.5,"Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Good For --> Lunch, Dinner, Dessert | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Caters --> No ",,American (Traditional),Bars,73,12/26/2017,http://www.yelp.com/user_details?userid=Ip5yFz3eP75oBjsyWYIxVA,AyGJNTLh9abu8R14mYPAjA
